State,Name,Status,Group Email,Website,Facebook,Twitter,Instagram,Blog,Event Calendar,Email list
CA,Central Coast California,Chapter,info@centralcoastdsa.com,www.centralcoastdsa.com,facebook.com/centralcoastdsa,https://twitter.com/centralcoastdsa,https://www.instagram.com/centralcoastdsa/,,https://centralcoastdsa.com/events/,https://centralcoastdsa.com/join-dsa/
CA,Central Sierra Foothills,Chapter,foothillsdsa@gmail.com,,https://www.facebook.com/csfdsa/,https://twitter.com/FoothillsDSA,https://www.instagram.com/centralsierrafoothillsdsa/,,https://calendar.google.com/calendar/u/2/r?cid=c2xuZ2VjdDdhZW83cnA1bTN0NDkwNjYzcDRAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ,
CA,Coachella Valley,Chapter,dsacoachellavalley@gmail.com,https://www.dsacv.org,https://www.facebook.com/coachellavalleydsa,https://twitter.com/DSACoachella,https://www.instagram.com/dsacoachellavalley/,,https://www.dsacv.org/calendar,https://actionnetwork.org/forms/sign-up-for-email-updates-from-coachella-valley-dsa
CA,East Bay,Chapter,info@eastbaydsa.org,http://eastbaydsa.org/,https://www.facebook.com/eastbaydsa,https://twitter.com/DSAEastBay,,,,
CA,Fresno,Chapter,fresnodsa@gmail.com,,https://www.facebook.com/FresnoDSA,https://twitter.com/dsa_fresno,https://www.instagram.com/dsa_fresno/,,,
CA,Inland Empire,Chapter,inlanddsa@gmail.com,https://iedsa.org/,https://www.facebook.com/InlandEmpireDSA,https://twitter.com/inlandempiredsa,https://www.instagram.com/inlandempiredsa/,,https://iedsa.org/index.php?q=civicrm/showevents&id=1,contact@iedsa.org
CA,Kern County,Chapter,dsa.kern.county@gmail.com,,https://www.facebook.com/DSAkerncounty/,https://twitter.com/DSA_KC,https://www.instagram.com/dsakerncounty/,,,
CA,Long Beach,Chapter,info@dsalb.org,https://dsalb.org/,https://www.facebook.com/DSALongBeach/,https://twitter.com/DSALongBeach,https://www.instagram.com/dsalongbeach/,,https://dsalb.org/calendar/,
CA,Los Angeles,Chapter,steeringcommittee@dsa-la.org,http://www.dsa-la.org/,https://www.facebook.com/DSALosAngeles/,https://twitter.com/DSA_LosAngeles,https://www.instagram.com/dsa_la/,https://dsa-la.org/blog/,https://dsa-la.org/calendar/month/,https://dsa-la.org
CA,Marin,Chapter,marindemsoc@gmail.com,https://marin.dsausa.org/,https://www.facebook.com/MarinDSA/,https://twitter.com/dsa_marin,https://www.instagram.com/dsa_marin/,,,https://marinrentcontrol.com/
CA,Merced & Mariposa,Chapter,DSAMerced@gmail.com,,https://www.facebook.com/DSAMerced,https://twitter.com/DSAMerced,https://www.instagram.com/dsamerced/,,,https://airtable.com/shrNZNdYFoy1IV9Vd
CA,Orange County,Chapter,contact@ocdsa.org,http://www.ocdsa.org/,https://www.facebook.com/dsaorangecounty/,https://twitter.com/DSAOrangeCounty,https://www.instagram.com/ocdsa/,,https://www.ocdsa.org/events/,
CA,Peninsula California,Chapter,info@peninsuladsa.org,peninsuladsa.org,https://www.facebook.com/peninsulaDSA/,https://twitter.com/DSA_Peninsula,https://www.instagram.com/peninsuladsa/,,https://peninsuladsa.org/calendar/,http://eepurl.com/cNwNHH
CA,Sacramento,Chapter,DSAsacramento@gmail.com,http://www.sacdsa.org/,https://www.facebook.com/DSA.Sacramento,http://www.twitter.com/DSASac,https://www.instagram.com/dsasac/?hl=en,https://www.sacdsa.org/blog/,,
CA,San Diego,Chapter,sandiegodsa@gmail.com,http://dsasandiego.org/,https://www.facebook.com/groups/sandiegodsa/,https://twitter.com/dsa_sandiego,,,,
CA,San Francisco,Chapter,dsa.san.francisco@gmail.com,https://dsasf.org/,https://www.facebook.com/dsasanfrancisco,https://twitter.com/dsa_sf,https://www.instagram.com/dsa_sf/,,,
CA,San Luis Obispo,Chapter,slocialism@gmail.com,http://www.dsaslo.org/,https://www.facebook.com/slocialism/,https://twitter.com/dsa_slo,https://www.instagram.com/dsa_slo,,,
CA,Santa Barbara,Chapter,dsasantabarbara@gmail.com,https://dsasb.org/,https://www.facebook.com/sbdsa,https://twitter.com/sb_dsa,https://www.instagram.com/dsasantabarbara,,,
CA,Santa Cruz,Chapter,info@DSAsantacruz.org,http://www.dsasantacruz.org/,https://www.facebook.com/DSASantaCruz/,https://twitter.com/DSASantaCruz,https://www.instagram.com/dsasantacruz/,https://dsasantacruz.org/articles/,,
CA,Shasta County,Organizing Committee,shastacountydsa@gmail.com,,https://www.facebook.com/ShastaDSA,https://twitter.com/ShastaDSA,,,,
CA,Silicon Valley,Chapter,info@siliconvalleydsa.org,https://siliconvalleydsa.org/,https://www.facebook.com/svdsa,https://twitter.com/SV_DSA,https://www.instagram.com/silicon_valley_dsa/,,,siliconvalleydsa.org/join
CA,Stanislaus,Chapter,dsastanislaus@gmail.com,http://www.dsastanislaus.org/,https://www.facebook.com/DSA-Stanislaus-104044524345034/,https://twitter.com/DsaStanislaus,https://www.instagram.com/dsastanislaus/,,dsastanislaus.org/events.html,dsastanislaus.org
CA,Tulare County,Organizing Committee,tcdsaofficial@gmail.com,,,https://twitter.com/TCDSAofficial,https://www.instagram.com/tcdsaofficial/,,,
CA,Ventura County,Chapter,dsaventuracounty@gmail.com,https://www.dsaventuracounty.org/,fb.me/dsaventuracounty,@VCDemSocialists,@DSAVenturaCounty,,https://www.dsaventuracounty.org/calendar,
CA,Yolo County,Chapter,yolodemsocialists@gmail.com,https://www.yolodsa.org/,facebook.com/dsayolo,twitter.com/yolodsa,instagram.com/yolodsa/,,yolodsa.org/events,yolodsa.org/join
CO,Boulder,Chapter,boulderdsa@gmail.com,http://www.boulderdsa.org/,https://www.facebook.com/boulderdsa/,https://twitter.com/BoulderDSA,,,,
CO,Colorado Springs,Chapter,cospringsdsa@gmail.com,https://www.cosdsa.org/,facebook.com/springsdsa,twitter.com/springs_dsa,instagram.com/cospringsdsa,,https://teamup.com/ks6naexqz825tbp3um,
CO,Denver,Chapter,info@denverdsa.org,https://denverdsa.org/,https://www.facebook.com/denverdemsocialists,https://twitter.com/DSAdenver,https://www.instagram.com/dsadenver/,,https://denverdsa.org/events,https://actionnetwork.org/forms/join-our-email-list-25
CO,Fort Collins,Chapter,dsafortcollins@gmail.com,https://dsafc.org/,https://www.facebook.com/DSAFortCollins,https://twitter.com/DSAFortCollins,,,https://dsafc.org/calendar/,Email: dsafortcollins@gmail.com
CO,La Plata County,Organizing Committee,laplataDSA@gmail.com,,https://www.facebook.com/laplatadsa/,https://twitter.com/dsalaplataco,,,,
CT,Central Connecticut,Chapter,general@cctdsa.org,http://cctdsa.org/,https://www.facebook.com/CentralCTDSA,https://twitter.com/centralctdsa,https://www.instagram.com/CentralCTDSA/,,https://cctdsa.org/calendar,
CT,Quiet Corner,Chapter,thequietcornerdsa@gmail.com,,https://www.facebook.com/thequietcornerDSA,https://twitter.com/quietcorner_dsa,https://www.instagram.com/quietcorner_dsa/,,,
CT,Western Connecticut,Chapter,info@westernctdsa.org,https://westernctdsa.org,https://www.facebook.com/WesternCTDSA/,https://twitter.com/DSA_WesternCT,https://www.instagram.com/westernctdsa/,,https://westernctdsa.org/events,https://actionnetwork.org/forms/western-ct-dsa-contact-form
"DC, VA, MD",Metro DC,Chapter,info@mdcdsa.org,https://mdcdsa.org/,https://www.facebook.com/MetroDCDSA/,https://twitter.com/mdc_dsa,https://www.instagram.com/mdc_dsa/,http://washingtonsocialist.mdcdsa.org,https://mdcdsa.org/metro-dc-dsa-calendar-of-events/,
DE,Delaware,Chapter,delaware.socialists@gmail.com,,https://www.facebook.com/DelawareDSA/,https://twitter.com/delawaredsa,,,,
FL,Broward County,Chapter,browarddsa@gmail.com,https://browardcountydsa.org/,,www.twitter.com/browarddsa,instagram.com/browarddsa,,https://calendar.google.com/calendar/u/0?cid=YnJvd2FyZGRzYUBnbWFpbC5jb20,
FL,Jacksonville,Chapter,jacksonvilledsa@gmail.com,https://www.jaxdsa.org/,https://www.facebook.com/DSAJax,https://twitter.com/dsa_jax,,,https://www.jaxdsa.org/calendar.html,https://actionnetwork.org/forms/jaxdsasurvey
FL,Miami,Chapter,miamidsa@gmail.com,http://miamidsa.org/,https://www.facebook.com/MiamiDSA/,https://twitter.com/MiamiDSA,https://www.instagram.com/miamidsa/,,https://miamidsa.org/calendar,eepurl.com/cWvZvb
FL,Orlando,Chapter,dsaoforlando@gmail.com,https://www.orlandodsa.org/,https://www.facebook.com/OrlandoDSA,https://twitter.com/Orlando_DSA,https://www.instagram.com/orlando_dsa,https://medium.com/orlando-city-red-gazette,,
FL,Palm Beach County,Chapter,info@palmbeachdsa.org,https://palmbeachdsa.org/,https://www.facebook.com/palmbeachdsa/,https://twitter.com/palmbeachdsa,https://www.instagram.com/palmbeachdsa/,,,
FL,Pasco-Hernando,Chapter,PascoHernandoDSA@gmail.com,https://pascohernando.dsachapters.org,https://www.facebook.com/PascoHernandoDSA,https://twitter.com/pasco_hernando,,,https://calendar.google.com/calendar/embed?src=pascohernandodsa%40gmail.com&ctz=America%2FNew_York,https://dsausa.us/PascoHernandoDSA
FL,Pensacola,Organizing Committee,info@PensacolaDSA.org,https://www.PensacolaDSA.org/,https://www.facebook.com/PensacolaDSA,https://twitter.com/Pensacola_DSA,https://www.instagram.com/pensacoladsa/,https://www.pensacoladsa.org/news,https://www.pensacoladsa.org/calendar,http://eepurl.com/gPSvw9
FL,Pinellas County,Chapter,dsa.pinellas@gmail.com,www.pinellasdsa.org,facebook.com/pinellasdsa,twitter.com/pinellasdsa,https://www.instagram.com/pinellasdsa/,https://dsa-pinellas.medium.com/,https://calendar.google.com/calendar/u/1?cid=Z3FvbDh1amxldGxlOHF2cGhsMmE3ZHZnanNAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ,
FL,Polk County,Chapter,polkcounty.dsa@gmail.com,https://linktr.ee/PolkDSA,https://www.facebook.com/Democratic-Socialists-of-America-Polk-County-Florida-Chapter-104241527973340,https://twitter.com/PolkDSA,https://www.instagram.com/polk.dsa/,,https://calendar.google.com/calendar/u/0/embed?src=polkcounty.dsa@gmail.com&ctz=America/New_York,http://eepurl.com/g8VSNX
FL,Southwest Florida,Organizing Committee,swfl.dsa@gmail.com,https://www.swfldsa.org/,facebook.com/SWFLDSA,https://twitter.com/swflDSA,https://www.instagram.com/swfldsa/,,https://linktr.ee/southwestfloridadsa,https://actionnetwork.org/forms/sign-up-for-the-swfl-dsa-email-newsletter
FL,Space Coast,Chapter,spacecoastdsa@gmail.com,http://socialists.space/,https://www.facebook.com/socialists.space/,https://twitter.com/spacecoastdsa,,,,https://goo.gl/forms/qWScLfDZO4Sp0ydh2
FL,Tallahassee,Chapter,TLHDSA@gmail.com,,https://www.facebook.com/tallahasseedsa/,https://twitter.com/tallahasseedsa,,,,
FL,Tampa,Chapter,dsa.tampa@gmail.com,https://www.tampadsa.org,https://www.facebook.com/tampadsa/,https://www.twitter.com/tampadsa,https://www.instagram.com/tampadsa/,,,
GA,Athens Area,Chapter,athensareadsa@gmail.com,https://athensareadsa.org,https://www.facebook.com/AthensAreaDSA/,https://twitter.com/athensareadsa,https://www.instagram.com/athensareadsa/?hl=en,,https://athensareadsa.org/events/,
GA,Atlanta,Chapter,steering@atldsa.org,https://atldsa.org,https://facebook.com/atldemsoc,https://twitter.com/atldemsoc,https://instagram.com/atldemsoc,https://redclaycomrade.org/,https://atldsa.org/subscribe,
GA,Augusta CSRA,Chapter,dsaaugustacsra@gmail.com,,https://www.facebook.com/Augusta.Democratic.Socialists,https://twitter.com/dsa_augustacsra,https://www.instagram.com/dsa_augustaga,https://medium.com/@AustinDSA,,https://forms.gle/3GtDAJKCBitsfgZZ6
GA,Savannah,Chapter,savgadsa@gmail.com,www.savgadsa.org,www.facebook.com/SavannahDSA,www.twitter.com/SavannahDSA,www.instagram.com/dsasavannah,www.savgadsa.org/statements,www.savgadsa.org/events,
HI,Honolulu,Chapter,aloha@dsahonolulu.com,https://www.dsahonolulu.org/,https://www.facebook.com/dsahonolulu,https://twitter.com/dsahonolulu,,,https://www.dsahonolulu.org/events/,
IA,Cedar Rapids,Chapter,DSAcedarrapids@gmail.com,http://www.cedarrapidsdsa.org/,https://www.facebook.com/cedarrapidsdsa,@cedarrapidsdsa,,,,
IA,Central Iowa,Chapter,centraliowademsocialists@gmail.com,,https://www.facebook.com/CentralIowaDSA/,https://twitter.com/DSM_DSA,,,,
IA,Dubuque,Chapter,Dubuque.DSA@gmail.com,,https://www.facebook.com/DBQsocialists,,,,https://calendar.google.com/calendar?cid=ZHVidXF1ZS5kc2FAZ21haWwuY29t&fbclid=IwAR1Znq8T7ftpI1W3MizXquI0j4whMqxNAbXpJpJZvQ_GYJGMzSCOoMqhKrQ,http://eepurl.com/gfxknL
IA,Heart of Iowa,Chapter,HeartofIowaDSA@gmail.com,,,,,,,
IA,Iowa City,Chapter,exec@iowacitydsa.org,https://www.iowacitydsa.org/,https://www.facebook.com/IowaCityDSA/,https://twitter.com/dsaiowacity,,,,
"IA
IL",Quad Cities,Chapter,quadcitiesdsa@gmail.com,https://quadcitiesdsa.org,https://www.facebook.com/quadcitiesdsa,https://twitter.com/quadcitiesdsa,,https://quadcitiesdsa.org/blog/,https://quadcitiesdsa.org/calendar/events/,https://actionnetwork.org/forms/qcdsa-onboarding-form
ID,Boise,Chapter,mail@boisedsa.org,https://www.boisedsa.org/,https://www.facebook.com/BoiseDSA/,https://twitter.com/boisedsa,,,,
IL,Central Illinois,Organizing Committee,CentralILDSA@gmail.com,,https://www.facebook.com/CentralILDSA/,https://twitter.com/MaconLoganDSA,,,,
IL,Champaign-Urbana,Chapter,secretary@cudsa.red,https://cudsa.red/,https://www.facebook.com/chambanadsa/,https://twitter.com/chambanadsa,,,,
IL,Chicago,Chapter,info@chicagodsa.org,http://www.chicagodsa.org/,https://www.facebook.com/Chicago-Democratic-Socialists-of-America-107555372640256/,https://twitter.com/chicagocitydsa,https://www.instagram.com/chicagodsa/,http://www.midwestsocialist.com/,https://chicagodsa.org/events/,https://actionnetwork.org/forms/interested-in-chicago-dsa?kiosk=true
IL,Lakefront,Chapter,lakefront.DSA@gmail.com,,https://www.facebook.com/lakefrontDSA/,https://twitter.com/LakefrontDSA,,,,
IL,Northern Illinois,Chapter,northernillinoisDSA@gmail.com,https://www.northernillinoisdsa.org/,https://www.facebook.com/Northern-Illinois-Democratic-Socialists-of-America-442122069460346/,https://twitter.com/dsanorthernil,,,,
IL,Peoria,Chapter,info@peoriadsa.org,https://peoriadsa.org,facebook.com/peoriadsa,twitter.com/peoriadsa,,,https://peoriadsa.org/calendar,https://peoriadsa.org/email-list
IL,Southern Illinois,Chapter,southern.il.DSA@gmail.com,,https://www.facebook.com/groups/255195151638839/,http://twitter.com/southern_il_dsa,,,,
IL,West Suburban Illinois,Chapter,info@westsuburbsildsa.org,https://www.westsuburbsildsa.org/,https://www.facebook.com/WSILDSA,https://twitter.com/WSILDSA,https://www.instagram.com/wsildsa/,,,
IL,Western Illinois,Chapter,westernildsa@gmail.com,,https://www.facebook.com/WesternILDSA/,@WesternILDSA,,,,
IN,Bloomington Indiana,Chapter,bloomingtondsa@gmail.com,,https://www.facebook.com/bloomingtondsa/,https://twitter.com/BloomingtonDSA,,,,
IN,Central Indiana,Chapter,contact@centralindsa.org,https://www.centralindsa.org/,http://facebook.com/centralindsa,https://twitter.com/centralindsa,https://www.instagram.com/centralindsa/,,https://www.centralindsa.org/events/,https://actionnetwork.org/forms/sign-up-for-our-mailing-list-11
IN,Fort Wayne,Chapter,dsafortwayne@gmail.com,,www.facebook.com/groups/fortwaynedsa,https://twitter.com/fortwaynedsa,https://instagram.com/fortwaynedsa/,,,
IN,Greater Lafayette,Chapter,greater.lafayette.dsa@gmail.com,https://gldsa.org/,https://www.facebook.com/GreaterLafayetteDSA,https://twitter.com/LafayetteIN_DSA,https://www.instagram.com/greaterlafayettedsa/,,,
IN,Northern Indiana,Chapter,nindemsocialists@gmail.com,,https://www.facebook.com/northernindianadsa/,https://twitter.com/N_Indiana_DSA,,,,
IN,Northwest Indiana,Chapter,northwest.indiana.dsa@gmail.com,https://www.nwidsa.org/,https://www.facebook.com/NWIDSA,https://twitter.com/nwidsa,,,https://www.facebook.com/NWIDSA/events/,
IN,Southern Indiana,Organizing Committee,southernindianadsa@gmail.com,,facebook.com/SouthernIndianaDSA,https://twitter.com/soind_dsa,,,,
KS,Lawrence,Chapter,dsalawrenceks@gmail.com,https://www.lfkdsa.org/,https://www.facebook.com/lawrenceksdsa,https://twitter.com/dsa_lawrenceks,https://www.instagram.com/lfk_dsa/,,https://calendar.google.com/calendar/u/4?cid=ZHNhbGF3cmVuY2Vrc0BnbWFpbC5jb20,
KS,Salina,Organizing Committee,dsa.salina.ks@gmail.com,,facebook.com/DSASalina,,,,,
KS,Topeka,Organizing Committee,,,https://www.facebook.com/TopCityDSA,,,,https://tpdsa.org/Events,https://tpdsa.org/Signup-For-Updates
KS,Wichita,Chapter,socialists@ictdsa.org,https://ictdsa.org/,https://www.facebook.com/WichitaDSA/,https://twitter.com/wichita_dsa,https://www.instagram.com/wichitadsa/,,https://ictdsa.org/events,
KY,Lexington,Chapter,lexingtonDSA@gmail.com,,https://www.facebook.com/LexingtonDSA/,https://twitter.com/lexingtondsa,,,,
"KY
IN",Louisville,Chapter,dsalouisville@gmail.com,http://dsalouisville.org/,https://www.facebook.com/dsalouisville,https://twitter.com/dsa_louisville,,,,
LA,Baton Rouge,Chapter,batonrougedsa@gmail.com,,facebook.com/batonrougedsa,https://twitter.com/BatonRougeDSA,,,,
LA,New Orleans,Chapter,hello@dsaneworleans.org,http://dsaneworleans.org/,https://www.facebook.com/NewOrleansDSA/,https://twitter.com/neworleansdsa,https://www.instagram.com/neworleansdsa/,,http://dsaneworleans.org/events/,
LA,North Louisiana,Organizing Committee,NorthLADSA@protonmail.com,,,,,,,
LA,Southwest Louisiana,Chapter,dsaswla@protonmail.com,http://dsaswla.com/,https://www.facebook.com/DSASWLA/,https://twitter.com/DSASWLA,https://www.instagram.com/dsaswla,,,
MA,Berkshires,Chapter,berkshiresdsa@gmail.com,https://berkshiresdsa.org/,https://www.facebook.com/BerkshiresDSA/,https://twitter.com/BerkshiresDSA,https://www.instagram.com/berkshiresdsa/,,,
MA,Boston,Chapter,info@bostonDSA.org,http://www.bostondsa.org/,https://www.facebook.com/pages/Boston-Democratic-Socialists-of-America/282734585192522?fref=ts,https://twitter.com/boston_dsa,,,,
MA,Cape Cod,Chapter,capecodsocialists@gmail.com,http://www.capecoddsa.org/,https://www.facebook.com/CapeCodDSA/,https://twitter.com/capecoddsa,https://www.instagram.com/capecoddsa/,,,
MA,River Valley,Chapter,contact@rvdsa.org,https://rvdsa.org/,https://www.facebook.com/rivervalleyDSA/,https://twitter.com/RiverValleyDSA,,,https://rvdsa.org/events/,
MA,Southeastern Massachusetts,Organizing Committee,SouthEasternMassachusettsDSA@gmail.com,,,,,,,
MA,Worcester,Chapter,worcdsa@gmail.com,https://www.worcesterdsa.org/,https://www.facebook.com/WorcDSA/,https://twitter.com/worcdsa,https://www.instagram.com/worcdsa/,https://working-mass.com/,https://www.worcesterdsa.org/events,
MD,Frederick,Chapter,dsafrederick@gmail.com,,https://www.facebook.com/Frederick-Democratic-Socialists-of-America-111498801623940,,https://www.instagram.com/dsa.frederick/?igshid=YmMyMTA2M2Y%3D,,,
MD,Greater Baltimore,Chapter,baltimoreDSA@gmail.com,https://baltimoredsa.org/,https://www.facebook.com/BaltimoreDSA,https://twitter.com/bmoreDSA,https://www.instagram.com/baltimoredsa/,,,
MD,Southern Maryland,Organizing Committee,southernmarylanddsa@gmail.com,,,https://twitter.com/DsaSomd,https://www.instagram.com/dsasomd/,,,
ME,Maine,Chapter,info@smdsa.org,https://www.smdsa.org/,https://www.facebook.com/medemsoc,https://twitter.com/DSA_Maine,https://www.instagram.com/dsamaine/,,,
MI,Grand Rapids,Chapter,grandrapidsdsa@gmail.com,https://www.grandrapidsdsa.com/,https://www.facebook.com/DSAGrandRapidsMI/,https://twitter.com/GrandRapidsDSA,https://www.instagram.com/grandrapidsdsa/,https://www.grandrapidsdsa.com/blog/ ,https://www.grandrapidsdsa.com/events/ ,https://www.grandrapidsdsa.com/email-list
MI,Greater Flint,Chapter,flintdsa@gmail.com,,https://www.facebook.com/GreaterFlintDSA/,https://twitter.com/FlintDSA,,,,
MI,Greater Lansing,Chapter,lansingDSA@gmail.com,https://www.greaterlansingdsa.org/,https://www.facebook.com/LansingDSA/,https://twitter.com/lansingdsa,,,,
MI,Huron Valley,Chapter,huronvalleydsa@gmail.com,http://hvdsa.org/,https://www.facebook.com/HuronValleyDSA/,https://twitter.com/HuronValleyDSA,https://www.instagram.com/huronvalleydsa/,https://www.hvdsa.org/pubs,https://hvdsa.org/calendar/,https://www.hvdsa.org/get_involved
MI,Metro Detroit,Chapter,communications@metrodetroitdsa.com,http://www.metrodetroitdsa.com/,https://www.facebook.com/detroitdsa,https://twitter.com/detroitdsa,http://instagram.com/detroitdsa,https://medium.com/dsa-detroit-newspaper,,https://www.metrodetroitdsa.com/subscribe
MI,Northern Michigan,Organizing Committee,northernmidsa@gmail.com,,https://www.facebook.com/DSAofNorthernMichigan/,https://twitter.com/NoMiDSA,instagram.com/northernmichigandsa,,,
MI,Southwest Michigan,Chapter,dsasouthwestmi@gmail.com,,https://www.facebook.com/SWMIDSA,https://twitter.com/SWMIDSA,,,,
MN,Brainerd Lakes Area,Chapter,bla.mn.dsa@gmail.com,bla-dsa.org,https://www.facebook.com/BrainerdLakesAreaDSA,,,,https://calendar.google.com/calendar/u/0?cid=aGpyYzQxZXRwa2djNGFzazc3MnAzbHNwYWdAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ,
MN,Cannon Valley,Chapter,cannonvalleydsa@gmail.com,,https://www.facebook.com/Cannon-Valley-Democratic-Socialists-of-America-234998091097162,https://twitter.com/cannonvalleydsa,,,,
MN,St. Cloud,Chapter,st.clouddsa@gmail.com,,https://www.facebook.com/groups/2569581889730197/,,,,,
MN,Twin Cities,Chapter,chairs@twincitiesdsa.org,https://twincitiesdsa.org/,https://www.facebook.com/TwinCitiesDSA/,https://twitter.com/twincitiesdsa,https://www.instagram.com/twin.cities.dsa/,https://twincitiesdsa.org/topics/blog/,https://twincitiesdsa.org/events,https://twincitiesdsa.org/join/
MN,Twin Ports,Chapter,dsa.duluth@gmail.com,https://twinportsdsa.org/,facebook.com/twinportsDSA,https://twitter.com/TwinPortsDSA,https://www.instagram.com/dsa.duluth/,,,http://eepurl.com/dC--vv
MO,Mid-Missouri,Chapter,midmodsa@gmail.com,,https://www.facebook.com/dsamidmo,https://twitter.com/midmodsa,,,,
MO,Ozarks,Chapter,springfielddsa@gmail.com,,https://www.facebook.com/DSAOzarks,https://twitter.com/dsaozarks,,,,
MO,St. Louis,Chapter,info@stldsa.org,https://stldsa.org/,https://www.facebook.com/STLDSA/,https://twitter.com/stlouisdsa,https://www.instagram.com/saintlouisdsa/,,,
MO KS,Kansas City,Chapter,contact@kcdsa.org,www.kcdsa.org,www.facebook.com/kansascitydsa,www.twitter.com/kansascitydsa,,,,
MS,Jackson,Chapter,dsajacksonms@gmail.com,,https://www.facebook.com/JXNDSA,https://twitter.com/JXNDSA,https://twitter.com/JXNDSA,,,
MT,Billings,Chapter,contact@dsabillings.org,www.dsabillings.org,https://www.facebook.com/billingsdsa/,https://twitter.com/billings_dsa,,,,
MT,Bozeman,Chapter,bozemandsa@gmail.com,https://bozemandsa.org/,facebook.com/bozemandsa,twitter.com/BozemanDSA,instagram.com/bozemandsa,,,https://mailchi.mp/56d206650f70/bozemandsa
MT,Helena,Chapter,helenamtdsa@gmail.com,,https://www.facebook.com/helena.mt.dsa,https://twitter.com/Montana_DSA,,,,
MT,Western Montana,Chapter,Info@westernmtdsa.org,https://westernmtdsa.org,https://www.facebook.com/westernmtdsa/,https://twitter.com/westernmt_dsa,,,,
NC,Asheville,Chapter,general@avldsa.org,https://avldsa.org/,https://www.facebook.com/AVLDSA/,https://twitter.com/AshevilleDSA,https://www.instagram.com/asheville_dsa/,https://avldsa.medium.com/,,https://actionnetwork.org/forms/join-the-asheville-dsa-email-list
NC,Triangle,Chapter,ncpdsa@gmail.com,https://www.dsanc.org/,https://www.facebook.com/NCTriangleDSA/,https://twitter.com/NC_DSA,,,https://calendar.google.com/calendar/u/3?cid=NmZoOGUzZHA5NDIzOTdjZm8xb2g1Nzk2NmdAZ3JvdXAuY2FsZW5kYXIuZ29vZ2xlLmNvbQ,https://www.dsanc.org/get-involved
NC,Wilmington,Chapter,wilmingtondsa@gmail.com,https://www.wilmingtondsa.org,https://www.facebook.com/wilmingtondsa,https://twitter.com/wilmingtondsa,,,https://www.wilmingtondsa.org/events,https://www.wilmingtondsa.org/subscribe-to-our-newsletter/
NC,Winston-Salem,Chapter,winstonsalemdsa@gmail.com,,www.facebook.com/WinstonSalemDSA,https://twitter.com/WinstonSalemDSA,https://www.instagram.com/winstonsalemdsa/,,,
"NC
SC",Charlotte Metro,Chapter,info@charlottedsa.org,http://www.charlottedsa.org/,https://www.facebook.com/cltdsa,https://twitter.com/cltdsa/,,,,
"ND
MN",Red River Valley,Chapter,gc@rrvDSA.org,https://www.rrvdsa.org/,https://www.facebook.com/rrvdsa/,https://twitter.com/rrvdsa,,,,
